id_venta,numero_linea,fecha_venta,id_cliente,id_producto,id_tienda,nombre_tienda,ciudad,empresa,nombre_producto,categoria,cantidad,precio_unitario,descuento,genero_cliente,tipo_cliente,talla,metodo_pago,canal,temporada,tipo_prenda,departamento
V002588,1,2023-12-19,C01764,P0025,T023,KOAJ Jardín Plaza,Cali,KOAJ,Vestido corto,Vestidos,1,143000,0.0,Mujer,Local,XL,Tarjeta crédito,Tienda física,Temporada regular,Vestido,Valle del Cauca
V000855,1,2024-07-27,C00435,P0024,T023,KOAJ Jardín Plaza,Cali,KOAJ,Chaqueta denim,Chaquetas,3,"216000,00",0.15,Mujer,Local,S,Transferencia,Online,Temporada regular,Chaqueta,Valle del Cauca
V003757,1,2025-01-05,C01015,P0009,T011,KOAJ Santa Fe,Medellín,KOAJ,Camisa casual,Camisas,1,128000,0.0,Mujer,Local,XL,Efectivo,Tienda física,Temporada regular,Camisa,Antioquia
V000720,1,2024-09-02,C00958,P0018,T031,KOAJ Campanario,Popayán,KOAJ,Camiseta básica,Camisetas,1,77000,0.0,Hombre,Local,M,Efectivo,Tienda física,Temporada regular,Camiseta,Cauca
V000599,2,2023-07-27,C02343,P0012,T030,KOAJ Cacique,Bucaramanga,KOAJ,Blusa,Blusas,2,"113.000,00",0.05,Mujer,Local,M,Efectivo,Tienda física,Temporada regular,Blusa,Santander
V000175,1,2025-03-23,C01327,P0025,T031,KOAJ Campanario,Popayán,KOAJ,Vestido corto,Vestidos,2,"135.000,00",0.0,Mujer,Turista,XS,Tarjeta débito,Tienda física,Temporada regular,Vestido,Cauca
V001520,2,2025-05-22,C02257,P0009,T004,KOAJ Unicentro,Armenia,KOAJ,Camisa casual,Camisas,1,"124.000,00",0.3,Mujer,Local,L,Tarjeta débito,Tienda física,Temporada regular,Camisa,Quindío
V001652,1,2024-03-15,C01578,P0005,T004,KOAJ Unicentro,Armenia,KOAJ,Falda,Faldas,3,108000,0.0,Mujer,Turista,M,Tarjeta débito,Online,Temporada regular,Falda,Quindío
V002143,3,2024-08-31,C02754,P0024,T013,KOAJ Caracolí,Bucaramanga,KOAJ,Chaqueta denim,Chaquetas,2,"210.000,00",0.0,Mujer,Local,M,Tarjeta crédito,Tienda física,Temporada de diciembre,Chaqueta,Santander
V002267,2,2023-04-30,C02352,P0024,T043,KOAJ Victoria,Pereira,KOAJ,Chaqueta denim,Chaquetas,1,"224000,00",0.0,Mujer,Local,M,Tarjeta débito,Online,Temporada regular,Chaqueta,Risaralda
V003261,1,2024-12-05,C02237,P0020,T034,KOAJ Viva Barranquilla,Barranquilla,KOAJ,Camiseta estampada,Camisetas,1,"79000,00",0.3,Mujer,Local,XL,Tarjeta débito,Online,Temporada regular,Camiseta,Atlántico
V003730,1,2023-02-19,C00964,P0013,T025,KOAJ El Tesoro,Medellín,KOAJ,Bolso,Accesorios,2,"58000,00",0.0,Mujer,Local,S,Tarjeta crédito,Online,Temporada regular,Accesorio,Antioquia
V003459,2,2024-12-18,C02416,P0009,T006,KOAJ Único,Pasto,KOAJ,Camisa casual,Camisas,2,125000,0.0,Mujer,Local,XL,Tarjeta débito,Tienda física,Temporada regular,Camisa,Nariño
V001045,2,2025-12-07,C00671,P0014,T003,KOAJ Ocean Mall,Santa Marta,KOAJ,Jogger,Pantalones,4,"138000,00",0.0,Hombre,Local,36,Tarjeta débito,Tienda física,Temporada regular,Pantalón,Magdalena
V002538,1,2025-12-30,C01110,P0001,T030,KOAJ Cacique,Bucaramanga,KOAJ,Pantalón clásico,Pantalones,2,"149.000,00",0.0,Hombre,Local,30,Tarjeta débito,Tienda física,Temporada regular,Pantalón,Santander
V002040,1,2025-10-22,C02702,P0019,T004,KOAJ Unicentro,Armenia,KOAJ,Top,Tops,1,71000,0.0,Mujer,Local,XL,Tarjeta crédito,Tienda física,Temporada de diciembre,Top,Quindío
V002184,1,2023-05-24,C01029,P0011,T004,KOAJ Unicentro,Armenia,KOAJ,Buzo básico,Buzos,1,"128.000,00",0.0,Mujer,Local,XXL,Tarjeta crédito,Online,Día de la Madre,Buzo,Quindío
V002791,1,2023-12-08,C01489,P0003,T022,KOAJ Portal del Prado,Barranquilla,KOAJ,Jean mom,Jeans,3,182000,0.0,Mujer,Local,36,Tarjeta crédito,Tienda física,Vacaciones,Pantalón,Atlántico
V001061,1,2024-03-31,C02552,P0024,T035,KOAJ Mayorca,Medellín,KOAJ,Chaqueta denim,Chaquetas,4,208000,0.0,Hombre,Local,M,Tarjeta débito,Tienda física,Temporada de diciembre,Chaqueta,Antioquia
V003689,1,2023-06-07,C02241,P0022,T010,KOAJ Terraplaza,Popayán,KOAJ,Tenis casuales,Calzado,1,191000,0.0,Hombre,Local,M,Efectivo,Online,Vacaciones,Calzado,Cauca
V000581,2,2025-05-05,C02346,P0016,T004,KOAJ Unicentro,Armenia,KOAJ,Pantalón cargo,Pantalones,1,"145000,00",0.0,Mujer,Local,40,Tarjeta crédito,Tienda física,Vacaciones,Pantalón,Quindío
V002756,1,2025-11-17,C01759,P0008,T017,KOAJ Titán Plaza,Bogotá,KOAJ,Chaqueta bomber,Chaquetas,2,223000,0.0,Hombre,Local,M,  Tarjeta débito  ,Tienda física,Temporada regular,Chaqueta,Bogotá D.C.
V003306,1,2023-09-04,C00804,P0010,T018,KOAJ Mall Plaza,Cartagena,KOAJ,Short,Shorts,1,99000,0.1,Hombre,Local,40,Tarjeta crédito,Tienda física,Temporada regular,Short,Bolívar
V000996,1,2024-02-17,C02186,P0022,T028,KOAJ Ventura Plaza,Cúcuta,KOAJ,Tenis casuales,Calzado,1,210000,0.0,Hombre,Local,S,Tarjeta crédito,Online,Vacaciones,Calzado,Norte de Santander
V003199,2,2025-03-25,C01058,P0011,T004,KOAJ Unicentro,Armenia,KOAJ,Buzo básico,Buzos,1,"138.000,00",0.0,Mujer,Local,S,Tarjeta crédito,Tienda física,Temporada regular,Buzo,Quindío
V003547,1,2024-01-07,C00401,P0014,T005,KOAJ Viva Sincelejo,Sincelejo,KOAJ ,  Jogger  ,Pantalones,2,133000,0.0,Hombre,Local,32,Tarjeta débito,Online,Temporada regular,Pantalón,Sucre
V001701,1,2023-11-21,C00025,P0014,T003,KOAJ Ocean Mall,Santa Marta,KOAJ,Jogger,Pantalones,1,138000,0.0,Mujer,Turista,38,Efectivo,Tienda física,Temporada regular,Pantalón,Magdalena
V001840,1,2023-09-19,C01810,P0018,T043,KOAJ Victoria,Pereira,KOAJ,Camiseta básica,Camisetas,1,"75000,00",0.0,Mujer,Local,XXL,Tarjeta crédito,Tienda física,Temporada regular,Camiseta,Risaralda
V000723,1,2023-11-27,C00878,P0019,T003,KOAJ Ocean Mall,Santa Marta,KOAJ,Top,Tops,1,"76.000,00",0.0,Hombre,Local,L,Efectivo,Tienda física,Temporada regular,Top,Magdalena
V000446,2,2024-03-02,C01285,P0013,T004,KOAJ Unicentro,Armenia,KOAJ,Bolso,Accesorios,2,58000,0.05,Mujer,Local,XS,Efectivo,Tienda física,Temporada regular,Accesorio,Quindío
V002957,2,2025-02-19,C00177,P0001,T026,KOAJ Portal del Quindío,Armenia,KOAJ,Pantalón clásico,Pantalones,2,"140.000,00",0.2,Mujer,Local,28,Tarjeta crédito,Tienda física,Temporada de diciembre,Pantalón,Quindío
V003331,1,2023-02-21,C00957,P0017,T004,KOAJ Unicentro,Armenia,KOAJ,Vestido casual,Vestidos,1,"142000,00",0.0,Hombre,Local,L,Tarjeta débito,Tienda física,Vacaciones,Vestido,Quindío
V001955,1,2025-09-06,C00793,P0015,T021,KOAJ Mallplaza,Manizales,KOAJ,Jean straight,Jeans,2,177000,0.0,Mujer,Local,32,Efectivo,Tienda física,Temporada regular,Pantalón,Caldas
V000358,2,2025-03-21,C02032,P0015,T004,KOAJ Unicentro,Armenia,KOAJ,Jean straight,Jeans,1,174000,0.0,Hombre,Local,40,Efectivo,Tienda física,Temporada regular,Pantalón,Quindío
V002786,2,2025-09-27,C01517,P0024,T038,KOAJ Plaza Central,Bogotá,KOAJ,Chaqueta denim,Chaquetas,1,"207.000,00",0.0,Mujer,Local,XL,Efectivo,Tienda física,Temporada regular,Chaqueta,Bogotá D.C.
V002614,1,2024-08-20,C02627,P0008,T039,KOAJ Alamedas,Montería,KOAJ,Chaqueta bomber,Chaquetas,1,"207000,00",0.0,Hombre,Local,XXL,Tarjeta débito,Tienda física,Día de la Madre,Chaqueta,Córdoba
V002226,1,2023-07-09,C00506,P0014,T027,KOAJ Los Molinos,Medellín,KOAJ,Jogger,Pantalones,4,"132.000,00",0.05,Hombre,Local,40,Tarjeta crédito,Tienda física,Regreso a clases,Pantalón,Antioquia
V002695,1,2024-01-01,C00880,P0018,T004,KOAJ Unicentro,Armenia,KOAJ,Camiseta básica,Camisetas,2,"77000,00",0.05,Hombre,Local,S,Efectivo,Tienda física,Temporada regular,Camiseta,Quindío
V001395,1,2023-10-22,C00311,P0021,T025,KOAJ El Tesoro,Medellín,KOAJ,Polo,Camisas,1,"123.000,00",0.05,Mujer,Local,L,Tarjeta débito,Tienda física,Temporada regular,Polo,Antioquia
V001556,1,2024-11-12,C02491,P0019,T035,KOAJ Mayorca,Medellín,KOAJ,Top,Tops,1,"74.000,00",0.2,Mujer,Local,XS,Tarjeta débito,Tienda física,Temporada regular,Top,Antioquia
V003318,3,2025-07-01,C02799,P0004,T017,KOAJ Titán Plaza,Bogotá,KOAJ,Jean skinny,Jeans,1,"171000,00",0.0,Mujer,Local,38,Efectivo,Tienda física,Temporada de diciembre,Pantalón,Bogotá D.C.
V000859,1,2025-03-15,C00246,P0006,T009,KOAJ Buenavista,Montería,KOAJ,Cinturón,Accesorios,2,"55000,00",0.0,Mujer,Turista,L,  Efectivo  ,Tienda física,Temporada regular,Accesorio,Córdoba
V003270,2,2024-07-29,C01840,P0014,T011,KOAJ Santa Fe,Medellín,KOAJ,Jogger,Pantalones,1,"142000,00",0.1,Hombre,Local,38,Efectivo,Tienda física,Temporada de diciembre,Pantalón,Antioquia
V000223,1,2024-12-29,C02310,P0009,T021,KOAJ Mallplaza,Manizales,KOAJ,Camisa casual,Camisas,1,"129.000,00",0.0,Hombre,Local,L,Efectivo,Tienda física,Black Friday,Camisa,Caldas
V001073,1,2025-08-18,C02113,P0012,T004,KOAJ Unicentro,Armenia,KOAJ,Blusa,Blusas,3,106000,0.0,Mujer,Local,S,Efectivo,Tienda física,Temporada regular,Blusa,Quindío
V002477,2,2024-12-21,C02723,P0010,T004,KOAJ Unicentro,Armenia,KOAJ,Short,Shorts,4,"95.000,00",0.0,Mujer,Local,40,Tarjeta crédito,Online,Black Friday,Short,Quindío
V000150,1,2023-09-25,C02445,P0014,T043,KOAJ Victoria,Pereira,KOAJ,Jogger,Pantalones,1,"143000,00",0.15,Hombre,Turista,30,Tarjeta débito,Tienda física,Temporada de diciembre,Pantalón,Risaralda
V003190,1,2024-06-19,C02733,P0014,T006,KOAJ Único,Pasto,KOAJ,Jogger,Pantalones,2,"137.000,00",0.15,Mujer,Local,38,Tarjeta crédito,Tienda física,Temporada regular,Pantalón,Nariño
V001101,1,2023-12-05,C02457,P0026,T004,KOAJ Unicentro,Armenia,KOAJ,Buzo con capucha,Buzos,1,"130.000,00",0.0,Mujer,Local,XXL,Efectivo,Tienda física,Temporada regular,Buzo,Quindío
V000985,2,2025-12-10,C02064,P0020,T020,KOAJ Salitre Plaza,Bogotá,KOAJ,Camiseta estampada,Camisetas,2,79000,0.0,Mujer,Local,L,Tarjeta crédito,Tienda física,Temporada de diciembre,Camiseta,Bogotá D.C.
V000522,1,2023-10-05,C00832,P0011,T042,KOAJ Guatapurí,Valledupar,KOAJ,Buzo básico,Buzos,3,137000,0.0,Mujer,Local,M,Efectivo,Tienda física,Temporada regular,Buzo,Cesar
V002781,1,2024-02-21,C01632,P0011,T024,KOAJ La Quinta,Bucaramanga,KOAJ,Buzo básico,Buzos,1,"135000,00",0.0,Mujer,Local,XXL,Tarjeta crédito,Tienda física,Black Friday,Buzo,Santander
V002372,1,2025-10-12,C01363,P0017,T013,KOAJ Caracolí,Bucaramanga,KOAJ,Vestido casual,Vestidos,4,"147000,00",0.2,Mujer,Local,XXL,Efectivo,Tienda física,Día del Padre,Vestido,Santander
V000503,2,2024-04-19,C00136,P0017,T016,KOAJ Guacarí,Sincelejo,KOAJ,Vestido casual,Vestidos,1,"140.000,00",0.0,Mujer,Turista,S,Tarjeta débito,Tienda física,Temporada regular,Vestido,Sucre
V001326,1,2023-01-13,C01761,P0010,T009,KOAJ Buenavista,Montería,KOAJ,Short,Shorts,4,"95000,00",0.0,Hombre,Local,30,Transferencia,Online,Temporada regular,Short,Córdoba
V003409,2,2024-12-26,C00938,P0018,T004,KOAJ Unicentro,Armenia,KOAJ,Camiseta básica,Camisetas,2,"79000,00",0.0,Hombre,Local,XL,Efectivo,Tienda física,Temporada regular,Camiseta,Quindío
V002276,2,2024-02-14,C02021,P0016,T043,KOAJ Victoria,Pereira,KOAJ,Pantalón cargo,Pantalones,2,"133.000,00",0.05,Mujer,Local,40,Tarjeta crédito,Tienda física,Temporada regular,Pantalón,Risaralda
V000995,1,2024-02-12,C00513,P0026,T030,KOAJ Cacique,Bucaramanga,KOAJ,Buzo con capucha,Buzos,4,"141000,00",0.0,Mujer,Local,XXL,Tarjeta débito,Tienda física,Vacaciones,Buzo,Santander
V002985,2,2024-12-19,C01809,P0024,T039,KOAJ Alamedas,Montería,KOAJ,Chaqueta denim,Chaquetas,4,"212000,00",0.1,Mujer,Local,S,Tarjeta crédito,Tienda física,Temporada regular,Chaqueta,Córdoba
V002773,2,2023-12-27,C00957,P0007,T023,KOAJ Jardín Plaza,Cali,KOAJ,Gorra,Accesorios,4,"61.000,00",0.0,Mujer,Local,S,Efectivo,Tienda física,Vacaciones,Accesorio,Valle del Cauca
V000085,1,2024-01-25,C00389,P0011,T004,KOAJ Unicentro,Armenia,KOAJ,Buzo básico,Buzos,1,"139.000,00",0.0,Hombre,Local,XS,Tarjeta débito,Tienda física,Temporada regular,Buzo,Quindío
V003236,2,2025-05-18,C00447,P0019,T004,KOAJ Unicentro,Armenia,KOAJ,Top,Tops,1,70000,0.4,Hombre,Local,L,Tarjeta crédito,Tienda física,Temporada regular,Top,Quindío
V000429,1,2025-04-22,C02233,P0025,T004,KOAJ Unicentro,Armenia,KOAJ,Vestido corto,Vestidos,2,"139.000,00",0.0,Mujer,Local,S,Tarjeta débito,Tienda física,Black Friday,Vestido,Quindío
V002142,1,2025-04-26,C01019,P0016,T019,KOAJ Primavera Urbana,Villavicencio,KOAJ,Pantalón cargo,Pantalones,4,133000,0.0,Hombre,Local,30,Transferencia,Tienda física,Temporada regular,Pantalón,Meta
V003681,3,2025-05-19,C00014,P0002,T031,KOAJ Campanario,Popayán,KOAJ,Set deportivo,Deportivo,1,"150000,00",0.1,Mujer,Local,XS,Tarjeta crédito,Tienda física,Temporada regular,Conjunto,Cauca
V003297,1,2025-08-03,C01315,P0018,T028,KOAJ Ventura Plaza,Cúcuta,KOAJ,Camiseta básica,Camisetas,1,"78000,00",0.4,Mujer,Local,XXL,Tarjeta crédito,Tienda física,Temporada regular,Camiseta,Norte de Santander
V000087,1,2024-10-18,C01135,P0003,T004,KOAJ Unicentro,Armenia,KOAJ,Jean mom,Jeans,1,"184000,00",0.0,Mujer,Local,30,Tarjeta crédito,Tienda física,Temporada regular,Pantalón,Quindío
V001785,1,2023-06-03,C02178,P0010,T036,KOAJ Caribe Plaza,Cartagena,KOAJ,Short,Shorts,1,"99000,00",0.3,Mujer,Local,32,Tarjeta crédito,Tienda física,Temporada regular,Short,Bolívar
V000640,2,2024-01-12,C02437,P0014,T004,KOAJ Unicentro,Armenia,KOAJ,Jogger,Pantalones,1,"141000,00",0.0,Hombre,Local,30,Tarjeta crédito,Online,Temporada regular,Pantalón,Quindío
V003293,1,2023-08-02,C01454,P0012,T042,KOAJ Guatapurí,Valledupar,KOAJ,Blusa,Blusas,1,110000,0.05,Hombre,Local,M,Efectivo,Tienda física,Temporada regular,Blusa,Cesar
V001168,2,2025-05-06,C01700,P0019,T009,KOAJ Buenavista,Montería,KOAJ,Top,Tops,1,"70.000,00",0.0,Hombre,Local,M,Tarjeta crédito,Tienda física,Temporada regular,Top,Córdoba
V002914,2,2024-09-14,C00346,P0011,T043,KOAJ Victoria,Pereira,KOAJ,Buzo básico,Buzos,1,"132.000,00",0.0,Mujer,Turista,S,Tarjeta débito,Tienda física,Temporada regular,Buzo,Risaralda
V001740,2,2023-08-14,C01256,P0006,T028,KOAJ Ventura Plaza,Cúcuta,KOAJ,Cinturón,Accesorios,2,53000,0.0,Mujer,Local,,Tarjeta crédito,Online,Black Friday,Accesorio,Norte de Santander
V002352,2,2023-09-03,C01344,P0013,T032,KOAJ La Castellana,Cartagena,KOAJ,Bolso,Accesorios,3,56000,0.0,Hombre,Local,S,Tarjeta débito,Tienda física,Temporada regular,Accesorio,Bolívar
V002167,3,2024-12-07,C01933,P0022,T030,KOAJ Cacique,Bucaramanga,KOAJ,Tenis casuales,Calzado,2,"208000,00",0.0,Mujer,Local,XXL,Tarjeta débito,Tienda física,Regreso a clases,Calzado,Santander
V000864,1,2023-01-01,C01333,P0016,T017,KOAJ Titán Plaza,Bogotá,KOAJ,Pantalón cargo,Pantalones,2,"137.000,00",0.0,Mujer,Local,32,Tarjeta crédito,Tienda física,Temporada de diciembre,Pantalón,Bogotá D.C.
V000946,1,2023-05-22,C02696,P0016,T019,KOAJ Primavera Urbana,Villavicencio,KOAJ,Pantalón cargo,Pantalones,1,"138000,00",0.1,Mujer,Local,36,Tarjeta débito,Tienda física,Temporada regular,Pantalón,Meta
V002893,3,2023-06-28,C02185,P0013,T016,KOAJ Guacarí,Sincelejo,KOAJ,Bolso,Accesorios,1,"59.000,00",0.0,Hombre,Local,M,Tarjeta débito,Online,Temporada regular,Accesorio,Sucre
V000675,1,2025-09-04,C00469,P0003,T041,KOAJ Mayales,Valledupar,KOAJ,Jean mom,Jeans,1,"185000,00",0.0,Hombre,Local,28,Tarjeta crédito,Online,Temporada regular,Pantalón,Cesar
V001714,2,2025-08-07,C01389,P0016,T022,KOAJ Portal del Prado,Barranquilla,KOAJ,Pantalón cargo,Pantalones,1,"136000,00",0.15,Hombre,Local,36,Tarjeta crédito,Tienda física,Temporada regular,Pantalón,Atlántico
V002201,2,2023-07-12,C02352,P0001,T011,KOAJ Santa Fe,Medellín,KOAJ,Pantalón clásico,Pantalones,3,"144000,00",0.4,Mujer,Local,40,Efectivo,Online,Vacaciones,Pantalón,Antioquia
V002319,2,2023-04-03,C00987,P0026,T009,KOAJ Buenavista,Montería,KOAJ,Buzo con capucha,Buzos,1,"138.000,00",0.3,Mujer,Local,M,Transferencia,Tienda física,Día del Padre,Buzo,Córdoba
V000470,2,2025-08-31,C00382,P0005,T035,KOAJ Mayorca,Medellín,KOAJ,Falda,Faldas,4,"118000,00",0.0,Hombre,Local,XS,Tarjeta débito,Tienda física,Vacaciones,Falda,Antioquia
V000689,2,2024-08-02,C02414,P0008,T022,KOAJ Portal del Prado,Barranquilla,KOAJ,Chaqueta bomber,Chaquetas,1,"211000,00",0.0,Mujer,Local,XXL,Tarjeta débito,Tienda física,Temporada regular,Chaqueta,Atlántico
V002982,2,2024-09-07,C00161,P0018,T019,KOAJ Primavera Urbana,Villavicencio,KOAJ,Camiseta básica,Camisetas,4,"75000,00",0.2,Mujer,Local,S,Efectivo,Tienda física,Temporada regular,Camiseta,Meta
V003658,1,2025-10-03,C01558,P0020,T004,KOAJ Unicentro,Armenia,KOAJ,Camiseta estampada,Camisetas,2,"76000,00",0.2,Hombre,Local,XL,Tarjeta débito,Tienda física,Temporada regular,Camiseta,Quindío
V000641,1,2025-01-23,C02607,P0018,T011,KOAJ Santa Fe,Medellín,KOAJ,Camiseta básica,Camisetas,1,"79000,00",0.15,Hombre,Local,S,Tarjeta crédito,Tienda física,Temporada regular,Camiseta,Antioquia
V001067,1,2023-04-26,C00204,P0004,T003,KOAJ Ocean Mall,Santa Marta,KOAJ,Jean skinny,Jeans,4,"170000,00",0.15,Hombre,Local,34,Tarjeta débito,Tienda física,Temporada regular,Pantalón,Magdalena
V001973,2,2025-09-25,C01341,P0020,T031,KOAJ Campanario,Popayán,KOAJ,Camiseta estampada,Camisetas,1,"79000,00",0.0,Hombre,Local,S,Transferencia,Tienda física,Día del Padre,Camiseta,Cauca
V000709,1,2024-02-22,C00690,P0018,T025,KOAJ El Tesoro,Medellín,KOAJ ,Camiseta básica,Camisetas,1,"76000,00",0.0,Hombre,Local,M,Transferencia,Tienda física,Temporada regular,Camiseta,Antioquia
V000888,1,2023-08-04,C02616,P0016,T037,KOAJ Fundadores,Manizales,KOAJ,Pantalón cargo,Pantalones,1,145000,0.0,Hombre,Local,32,Transferencia,Tienda física,Vacaciones,Pantalón,Caldas
V000830,1,2023-02-23,C01332,P0013,T017,KOAJ Titán Plaza,Bogotá,KOAJ,Bolso,Accesorios,2,"55000,00",0.0,Hombre,Local,L,Transferencia,Tienda física,Temporada regular,Accesorio,Bogotá D.C.
V000660,2,2025-07-26,C01811,P0008,T037,KOAJ Fundadores,Manizales,KOAJ,Chaqueta bomber,Chaquetas,1,"224000,00",0.0,Mujer,Local,XS,Tarjeta débito,Tienda física,Regreso a clases,Chaqueta,Caldas
V003205,1,2025-04-27,C01983,P0018,T038,KOAJ Plaza Central,Bogotá,KOAJ,Camiseta básica,Camisetas,2,"74000,00",0.0,Mujer,Local,L,Tarjeta débito,Tienda física,Día de la Madre,Camiseta,Bogotá D.C.
V000490,1,2025-01-11,C00155,P0002,T009,KOAJ Buenavista,Montería,KOAJ,Set deportivo,Deportivo,2,"159000,00",0.0,Mujer,Local,XL,Tarjeta débito,Tienda física,Temporada regular,Conjunto,Córdoba
V003160,3,2023-11-05,C01203,P0007,T040,KOAJ Andino,Bogotá,KOAJ,Gorra,Accesorios,1,58000,0.05,Mujer,Local,XS,Tarjeta débito,Tienda física,Regreso a clases,Accesorio,Bogotá D.C.
V002433,1,2024-11-04,C00328,P0009,T018,KOAJ Mall Plaza,Cartagena,KOAJ,Camisa casual,Camisas,4,"128000,00",0.0,Hombre,Local,XL,Transferencia,Tienda física,Temporada regular,Camisa,Bolívar
V003414,1,2023-10-27,C01193,P0002,T001,KOAJ Premium Plaza,Medellín,KOAJ,Set deportivo,Deportivo,1,"162.000,00",0.05,Mujer,Local,XS,Tarjeta crédito,Tienda física,Temporada de diciembre,Conjunto,Antioquia
V001230,1,2025-04-15,C00233,P0023,T002,KOAJ Multicentro,  Ibagué  ,KOAJ,Camiseta oversize,Camisetas,1,"77000,00",0.0,Mujer,Local,XS,Efectivo,Tienda física,Temporada de diciembre,Camiseta,Tolima
V002120,1,2025-08-16,C01026,P0004,T039,KOAJ Alamedas,Montería,KOAJ,Jean skinny,Jeans,1,170000,0.0,Hombre,Local,38,Tarjeta crédito,Online,Temporada regular,Pantalón,Córdoba
V002043,1,2023-12-30,C00533,P0001,T033,KOAJ Parque Arboleda,Pereira,KOAJ,Pantalón clásico,Pantalones,3,"144.000,00",0.1,Mujer,Local,38,Tarjeta débito,Online,Día de la Madre,Pantalón,Risaralda
