id_venta,numero_linea,fecha_venta,id_cliente,genero_cliente,tipo_cliente,id_producto,nombre_producto,categoria,tipo_prenda,id_tienda,nombre_tienda,ciudad,departamento,empresa,cantidad,precio_unitario,descuento,metodo_pago,canal,temporada,talla
V003164,1,2024-04-19,C00648,Mujer,Local,P0020,Camiseta Estampada,Camisetas,Camiseta,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,1,78000.0,0.0,Tarjeta Débito,Tienda Física,Black Friday,Xxl
V002461,3,2024-09-21,C01138,Hombre,Local,P0007,Gorra,Accesorios,Accesorio,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,2,60000.0,0.3,Tarjeta Débito,Tienda Física,Temporada Regular,L
V000546,1,2023-10-14,C01500,Mujer,Turista,P0019,Top,Tops,Top,T006,Koaj Único,Pasto,Nariño,KOAJ,3,70000.0,0.0,Tarjeta Débito,Tienda Física,Regreso A Clases,M
V000214,1,2023-05-14,C01254,Mujer,Local,P0009,Camisa Casual,Camisas,Camisa,T041,Koaj Mayales,Valledupar,Cesar,KOAJ,2,122000.0,0.0,Tarjeta Débito,Tienda Física,Regreso A Clases,S
V001682,1,2024-08-06,C00725,Hombre,Local,P0021,Polo,Camisas,Polo,T034,Koaj Viva Barranquilla,Barranquilla,Atlántico,KOAJ,2,118000.0,0.0,Efectivo,Tienda Física,Día De La Madre,S
V001888,1,2025-08-25,C02526,Hombre,Local,P0016,Pantalón Cargo,Pantalones,Pantalón,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,1,145000.0,0.15,Tarjeta Crédito,Tienda Física,Día De La Madre,40
V000187,2,2024-04-04,C01877,Mujer,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T012,Koaj Chipichape,Cali,Valle Del Cauca,KOAJ,1,78000.0,0.0,Transferencia,Online,Temporada Regular,L
V002588,1,2023-12-19,C01764,Mujer,Local,P0025,Vestido Corto,Vestidos,Vestido,T023,Koaj Jardín Plaza,Cali,Valle Del Cauca,KOAJ,1,143000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xl
V000855,1,2024-07-27,C00435,Mujer,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T023,Koaj Jardín Plaza,Cali,Valle Del Cauca,KOAJ,3,216000.0,0.15,Transferencia,Online,Temporada Regular,S
V003757,1,2025-01-05,C01015,Mujer,Local,P0009,Camisa Casual,Camisas,Camisa,T011,Koaj Santa Fe,Medellín,Antioquia,KOAJ,1,128000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xl
V000720,1,2024-09-02,C00958,Hombre,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T031,Koaj Campanario,Popayán,Cauca,KOAJ,1,77000.0,0.0,Efectivo,Tienda Física,Temporada Regular,M
V000599,2,2023-07-27,C02343,Mujer,Local,P0012,Blusa,Blusas,Blusa,T030,Koaj Cacique,Bucaramanga,Santander,KOAJ,2,113000.0,0.05,Efectivo,Tienda Física,Temporada Regular,M
V000175,1,2025-03-23,C01327,Mujer,Turista,P0025,Vestido Corto,Vestidos,Vestido,T031,Koaj Campanario,Popayán,Cauca,KOAJ,2,135000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xs
V001520,2,2025-05-22,C02257,Mujer,Local,P0009,Camisa Casual,Camisas,Camisa,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,124000.0,0.3,Tarjeta Débito,Tienda Física,Temporada Regular,L
V001652,1,2024-03-15,C01578,Mujer,Turista,P0005,Falda,Faldas,Falda,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,3,108000.0,0.0,Tarjeta Débito,Online,Temporada Regular,M
V002143,3,2024-08-31,C02754,Mujer,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T013,Koaj Caracolí,Bucaramanga,Santander,KOAJ,2,210000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,M
V002267,2,2023-04-30,C02352,Mujer,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T043,Koaj Victoria,Pereira,Risaralda,KOAJ,1,224000.0,0.0,Tarjeta Débito,Online,Temporada Regular,M
V003261,1,2024-12-05,C02237,Mujer,Local,P0020,Camiseta Estampada,Camisetas,Camiseta,T034,Koaj Viva Barranquilla,Barranquilla,Atlántico,KOAJ,1,79000.0,0.3,Tarjeta Débito,Online,Temporada Regular,Xl
V003730,1,2023-02-19,C00964,Mujer,Local,P0013,Bolso,Accesorios,Accesorio,T025,Koaj El Tesoro,Medellín,Antioquia,KOAJ,2,58000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,S
V003459,2,2024-12-18,C02416,Mujer,Local,P0009,Camisa Casual,Camisas,Camisa,T006,Koaj Único,Pasto,Nariño,KOAJ,2,125000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V001045,2,2025-12-07,C00671,Hombre,Local,P0014,Jogger,Pantalones,Pantalón,T003,Koaj Ocean Mall,Santa Marta,Magdalena,KOAJ,4,138000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,36
V002538,1,2025-12-30,C01110,Hombre,Local,P0001,Pantalón Clásico,Pantalones,Pantalón,T030,Koaj Cacique,Bucaramanga,Santander,KOAJ,2,149000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,30
V002040,1,2025-10-22,C02702,Mujer,Local,P0019,Top,Tops,Top,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,71000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,Xl
V002184,1,2023-05-24,C01029,Mujer,Local,P0011,Buzo Básico,Buzos,Buzo,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,128000.0,0.0,Tarjeta Crédito,Online,Día De La Madre,Xxl
V002791,1,2023-12-08,C01489,Mujer,Local,P0003,Jean Mom,Jeans,Pantalón,T022,Koaj Portal Del Prado,Barranquilla,Atlántico,KOAJ,3,182000.0,0.0,Tarjeta Crédito,Tienda Física,Vacaciones,36
V001061,1,2024-03-31,C02552,Hombre,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T035,Koaj Mayorca,Medellín,Antioquia,KOAJ,4,208000.0,0.0,Tarjeta Débito,Tienda Física,Temporada De Diciembre,M
V003689,1,2023-06-07,C02241,Hombre,Local,P0022,Tenis Casuales,Calzado,Calzado,T010,Koaj Terraplaza,Popayán,Cauca,KOAJ,1,191000.0,0.0,Efectivo,Online,Vacaciones,M
V000581,2,2025-05-05,C02346,Mujer,Local,P0016,Pantalón Cargo,Pantalones,Pantalón,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,145000.0,0.0,Tarjeta Crédito,Tienda Física,Vacaciones,40
V002756,1,2025-11-17,C01759,Hombre,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T017,Koaj Titán Plaza,Bogotá,Bogotá D.C.,KOAJ,2,223000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,M
V003306,1,2023-09-04,C00804,Hombre,Local,P0010,Short,Shorts,Short,T018,Koaj Mall Plaza,Cartagena,Bolívar,KOAJ,1,99000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,40
V000996,1,2024-02-17,C02186,Hombre,Local,P0022,Tenis Casuales,Calzado,Calzado,T028,Koaj Ventura Plaza,Cúcuta,Norte De Santander,KOAJ,1,210000.0,0.0,Tarjeta Crédito,Online,Vacaciones,S
V003199,2,2025-03-25,C01058,Mujer,Local,P0011,Buzo Básico,Buzos,Buzo,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,138000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,S
V003547,1,2024-01-07,C00401,Hombre,Local,P0014,Jogger,Pantalones,Pantalón,T005,Koaj Viva Sincelejo,Sincelejo,Sucre,KOAJ,2,133000.0,0.0,Tarjeta Débito,Online,Temporada Regular,32
V001701,1,2023-11-21,C00025,Mujer,Turista,P0014,Jogger,Pantalones,Pantalón,T003,Koaj Ocean Mall,Santa Marta,Magdalena,KOAJ,1,138000.0,0.0,Efectivo,Tienda Física,Temporada Regular,38
V001840,1,2023-09-19,C01810,Mujer,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T043,Koaj Victoria,Pereira,Risaralda,KOAJ,1,75000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V000723,1,2023-11-27,C00878,Hombre,Local,P0019,Top,Tops,Top,T003,Koaj Ocean Mall,Santa Marta,Magdalena,KOAJ,1,76000.0,0.0,Efectivo,Tienda Física,Temporada Regular,L
V000446,2,2024-03-02,C01285,Mujer,Local,P0013,Bolso,Accesorios,Accesorio,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,2,58000.0,0.05,Efectivo,Tienda Física,Temporada Regular,Xs
V002957,2,2025-02-19,C00177,Mujer,Local,P0001,Pantalón Clásico,Pantalones,Pantalón,T026,Koaj Portal Del Quindío,Armenia,Quindío,KOAJ,2,140000.0,0.2,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,28
V003331,1,2023-02-21,C00957,Hombre,Local,P0017,Vestido Casual,Vestidos,Vestido,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,142000.0,0.0,Tarjeta Débito,Tienda Física,Vacaciones,L
V001955,1,2025-09-06,C00793,Mujer,Local,P0015,Jean Straight,Jeans,Pantalón,T021,Koaj Mallplaza,Manizales,Caldas,KOAJ,2,177000.0,0.0,Efectivo,Tienda Física,Temporada Regular,32
V000358,2,2025-03-21,C02032,Hombre,Local,P0015,Jean Straight,Jeans,Pantalón,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,174000.0,0.0,Efectivo,Tienda Física,Temporada Regular,40
V002786,2,2025-09-27,C01517,Mujer,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T038,Koaj Plaza Central,Bogotá,Bogotá D.C.,KOAJ,1,207000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xl
V002614,1,2024-08-20,C02627,Hombre,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T039,Koaj Alamedas,Montería,Córdoba,KOAJ,1,207000.0,0.0,Tarjeta Débito,Tienda Física,Día De La Madre,Xxl
V002226,1,2023-07-09,C00506,Hombre,Local,P0014,Jogger,Pantalones,Pantalón,T027,Koaj Los Molinos,Medellín,Antioquia,KOAJ,4,132000.0,0.05,Tarjeta Crédito,Tienda Física,Regreso A Clases,40
V002695,1,2024-01-01,C00880,Hombre,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,2,77000.0,0.05,Efectivo,Tienda Física,Temporada Regular,S
V001395,1,2023-10-22,C00311,Mujer,Local,P0021,Polo,Camisas,Polo,T025,Koaj El Tesoro,Medellín,Antioquia,KOAJ,1,123000.0,0.05,Tarjeta Débito,Tienda Física,Temporada Regular,L
V001556,1,2024-11-12,C02491,Mujer,Local,P0019,Top,Tops,Top,T035,Koaj Mayorca,Medellín,Antioquia,KOAJ,1,74000.0,0.2,Tarjeta Débito,Tienda Física,Temporada Regular,Xs
V003318,3,2025-07-01,C02799,Mujer,Local,P0004,Jean Skinny,Jeans,Pantalón,T017,Koaj Titán Plaza,Bogotá,Bogotá D.C.,KOAJ,1,171000.0,0.0,Efectivo,Tienda Física,Temporada De Diciembre,38
V000859,1,2025-03-15,C00246,Mujer,Turista,P0006,Cinturón,Accesorios,Accesorio,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,2,55000.0,0.0,Efectivo,Tienda Física,Temporada Regular,L
V003270,2,2024-07-29,C01840,Hombre,Local,P0014,Jogger,Pantalones,Pantalón,T011,Koaj Santa Fe,Medellín,Antioquia,KOAJ,1,142000.0,0.1,Efectivo,Tienda Física,Temporada De Diciembre,38
V000223,1,2024-12-29,C02310,Hombre,Local,P0009,Camisa Casual,Camisas,Camisa,T021,Koaj Mallplaza,Manizales,Caldas,KOAJ,1,129000.0,0.0,Efectivo,Tienda Física,Black Friday,L
V001073,1,2025-08-18,C02113,Mujer,Local,P0012,Blusa,Blusas,Blusa,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,3,106000.0,0.0,Efectivo,Tienda Física,Temporada Regular,S
V002477,2,2024-12-21,C02723,Mujer,Local,P0010,Short,Shorts,Short,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,4,95000.0,0.0,Tarjeta Crédito,Online,Black Friday,40
V000150,1,2023-09-25,C02445,Hombre,Turista,P0014,Jogger,Pantalones,Pantalón,T043,Koaj Victoria,Pereira,Risaralda,KOAJ,1,143000.0,0.15,Tarjeta Débito,Tienda Física,Temporada De Diciembre,30
V003190,1,2024-06-19,C02733,Mujer,Local,P0014,Jogger,Pantalones,Pantalón,T006,Koaj Único,Pasto,Nariño,KOAJ,2,137000.0,0.15,Tarjeta Crédito,Tienda Física,Temporada Regular,38
V001101,1,2023-12-05,C02457,Mujer,Local,P0026,Buzo Con Capucha,Buzos,Buzo,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,130000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xxl
V000985,2,2025-12-10,C02064,Mujer,Local,P0020,Camiseta Estampada,Camisetas,Camiseta,T020,Koaj Salitre Plaza,Bogotá,Bogotá D.C.,KOAJ,2,79000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,L
V000522,1,2023-10-05,C00832,Mujer,Local,P0011,Buzo Básico,Buzos,Buzo,T042,Koaj Guatapurí,Valledupar,Cesar,KOAJ,3,137000.0,0.0,Efectivo,Tienda Física,Temporada Regular,M
V002781,1,2024-02-21,C01632,Mujer,Local,P0011,Buzo Básico,Buzos,Buzo,T024,Koaj La Quinta,Bucaramanga,Santander,KOAJ,1,135000.0,0.0,Tarjeta Crédito,Tienda Física,Black Friday,Xxl
V002372,1,2025-10-12,C01363,Mujer,Local,P0017,Vestido Casual,Vestidos,Vestido,T013,Koaj Caracolí,Bucaramanga,Santander,KOAJ,4,147000.0,0.2,Efectivo,Tienda Física,Día Del Padre,Xxl
V000503,2,2024-04-19,C00136,Mujer,Turista,P0017,Vestido Casual,Vestidos,Vestido,T016,Koaj Guacarí,Sincelejo,Sucre,KOAJ,1,140000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,S
V001326,1,2023-01-13,C01761,Hombre,Local,P0010,Short,Shorts,Short,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,4,95000.0,0.0,Transferencia,Online,Temporada Regular,30
V003409,2,2024-12-26,C00938,Hombre,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,2,79000.0,0.0,Efectivo,Tienda Física,Temporada Regular,Xl
V002276,2,2024-02-14,C02021,Mujer,Local,P0016,Pantalón Cargo,Pantalones,Pantalón,T043,Koaj Victoria,Pereira,Risaralda,KOAJ,2,133000.0,0.05,Tarjeta Crédito,Tienda Física,Temporada Regular,40
V000995,1,2024-02-12,C00513,Mujer,Local,P0026,Buzo Con Capucha,Buzos,Buzo,T030,Koaj Cacique,Bucaramanga,Santander,KOAJ,4,141000.0,0.0,Tarjeta Débito,Tienda Física,Vacaciones,Xxl
V002985,2,2024-12-19,C01809,Mujer,Local,P0024,Chaqueta Denim,Chaquetas,Chaqueta,T039,Koaj Alamedas,Montería,Córdoba,KOAJ,4,212000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,S
V002773,2,2023-12-27,C00957,Mujer,Local,P0007,Gorra,Accesorios,Accesorio,T023,Koaj Jardín Plaza,Cali,Valle Del Cauca,KOAJ,4,61000.0,0.0,Efectivo,Tienda Física,Vacaciones,S
V000085,1,2024-01-25,C00389,Hombre,Local,P0011,Buzo Básico,Buzos,Buzo,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,139000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xs
V003236,2,2025-05-18,C00447,Hombre,Local,P0019,Top,Tops,Top,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,70000.0,0.4,Tarjeta Crédito,Tienda Física,Temporada Regular,L
V000429,1,2025-04-22,C02233,Mujer,Local,P0025,Vestido Corto,Vestidos,Vestido,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,2,139000.0,0.0,Tarjeta Débito,Tienda Física,Black Friday,S
V002142,1,2025-04-26,C01019,Hombre,Local,P0016,Pantalón Cargo,Pantalones,Pantalón,T019,Koaj Primavera Urbana,Villavicencio,Meta,KOAJ,4,133000.0,0.0,Transferencia,Tienda Física,Temporada Regular,30
V003681,3,2025-05-19,C00014,Mujer,Local,P0002,Set Deportivo,Deportivo,Conjunto,T031,Koaj Campanario,Popayán,Cauca,KOAJ,1,150000.0,0.1,Tarjeta Crédito,Tienda Física,Temporada Regular,Xs
V003297,1,2025-08-03,C01315,Mujer,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T028,Koaj Ventura Plaza,Cúcuta,Norte De Santander,KOAJ,1,78000.0,0.4,Tarjeta Crédito,Tienda Física,Temporada Regular,Xxl
V000087,1,2024-10-18,C01135,Mujer,Local,P0003,Jean Mom,Jeans,Pantalón,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,184000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,30
V001785,1,2023-06-03,C02178,Mujer,Local,P0010,Short,Shorts,Short,T036,Koaj Caribe Plaza,Cartagena,Bolívar,KOAJ,1,99000.0,0.3,Tarjeta Crédito,Tienda Física,Temporada Regular,32
V000640,2,2024-01-12,C02437,Hombre,Local,P0014,Jogger,Pantalones,Pantalón,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,1,141000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,30
V003293,1,2023-08-02,C01454,Hombre,Local,P0012,Blusa,Blusas,Blusa,T042,Koaj Guatapurí,Valledupar,Cesar,KOAJ,1,110000.0,0.05,Efectivo,Tienda Física,Temporada Regular,M
V001168,2,2025-05-06,C01700,Hombre,Local,P0019,Top,Tops,Top,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,1,70000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada Regular,M
V002914,2,2024-09-14,C00346,Mujer,Turista,P0011,Buzo Básico,Buzos,Buzo,T043,Koaj Victoria,Pereira,Risaralda,KOAJ,1,132000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,S
V001740,2,2023-08-14,C01256,Mujer,Local,P0006,Cinturón,Accesorios,Accesorio,T028,Koaj Ventura Plaza,Cúcuta,Norte De Santander,KOAJ,2,53000.0,0.0,Tarjeta Crédito,Online,Black Friday,Sin Talla
V002352,2,2023-09-03,C01344,Hombre,Local,P0013,Bolso,Accesorios,Accesorio,T032,Koaj La Castellana,Cartagena,Bolívar,KOAJ,3,56000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,S
V002167,3,2024-12-07,C01933,Mujer,Local,P0022,Tenis Casuales,Calzado,Calzado,T030,Koaj Cacique,Bucaramanga,Santander,KOAJ,2,208000.0,0.0,Tarjeta Débito,Tienda Física,Regreso A Clases,Xxl
V000864,1,2023-01-01,C01333,Mujer,Local,P0016,Pantalón Cargo,Pantalones,Pantalón,T017,Koaj Titán Plaza,Bogotá,Bogotá D.C.,KOAJ,2,137000.0,0.0,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,32
V000946,1,2023-05-22,C02696,Mujer,Local,P0016,Pantalón Cargo,Pantalones,Pantalón,T019,Koaj Primavera Urbana,Villavicencio,Meta,KOAJ,1,138000.0,0.1,Tarjeta Débito,Tienda Física,Temporada Regular,36
V002893,3,2023-06-28,C02185,Hombre,Local,P0013,Bolso,Accesorios,Accesorio,T016,Koaj Guacarí,Sincelejo,Sucre,KOAJ,1,59000.0,0.0,Tarjeta Débito,Online,Temporada Regular,M
V000675,1,2025-09-04,C00469,Hombre,Local,P0003,Jean Mom,Jeans,Pantalón,T041,Koaj Mayales,Valledupar,Cesar,KOAJ,1,185000.0,0.0,Tarjeta Crédito,Online,Temporada Regular,28
V001714,2,2025-08-07,C01389,Hombre,Local,P0016,Pantalón Cargo,Pantalones,Pantalón,T022,Koaj Portal Del Prado,Barranquilla,Atlántico,KOAJ,1,136000.0,0.15,Tarjeta Crédito,Tienda Física,Temporada Regular,36
V002201,2,2023-07-12,C02352,Mujer,Local,P0001,Pantalón Clásico,Pantalones,Pantalón,T011,Koaj Santa Fe,Medellín,Antioquia,KOAJ,3,144000.0,0.4,Efectivo,Online,Vacaciones,40
V002319,2,2023-04-03,C00987,Mujer,Local,P0026,Buzo Con Capucha,Buzos,Buzo,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,1,138000.0,0.3,Transferencia,Tienda Física,Día Del Padre,M
V000470,2,2025-08-31,C00382,Hombre,Local,P0005,Falda,Faldas,Falda,T035,Koaj Mayorca,Medellín,Antioquia,KOAJ,4,118000.0,0.0,Tarjeta Débito,Tienda Física,Vacaciones,Xs
V000689,2,2024-08-02,C02414,Mujer,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T022,Koaj Portal Del Prado,Barranquilla,Atlántico,KOAJ,1,211000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xxl
V002982,2,2024-09-07,C00161,Mujer,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T019,Koaj Primavera Urbana,Villavicencio,Meta,KOAJ,4,75000.0,0.2,Efectivo,Tienda Física,Temporada Regular,S
V003658,1,2025-10-03,C01558,Hombre,Local,P0020,Camiseta Estampada,Camisetas,Camiseta,T004,Koaj Unicentro,Armenia,Quindío,KOAJ,2,76000.0,0.2,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V000641,1,2025-01-23,C02607,Hombre,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T011,Koaj Santa Fe,Medellín,Antioquia,KOAJ,1,79000.0,0.15,Tarjeta Crédito,Tienda Física,Temporada Regular,S
V001067,1,2023-04-26,C00204,Hombre,Local,P0004,Jean Skinny,Jeans,Pantalón,T003,Koaj Ocean Mall,Santa Marta,Magdalena,KOAJ,4,170000.0,0.15,Tarjeta Débito,Tienda Física,Temporada Regular,34
V001973,2,2025-09-25,C01341,Hombre,Local,P0020,Camiseta Estampada,Camisetas,Camiseta,T031,Koaj Campanario,Popayán,Cauca,KOAJ,1,79000.0,0.0,Transferencia,Tienda Física,Día Del Padre,S
V000709,1,2024-02-22,C00690,Hombre,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T025,Koaj El Tesoro,Medellín,Antioquia,KOAJ,1,76000.0,0.0,Transferencia,Tienda Física,Temporada Regular,M
V000888,1,2023-08-04,C02616,Hombre,Local,P0016,Pantalón Cargo,Pantalones,Pantalón,T037,Koaj Fundadores,Manizales,Caldas,KOAJ,1,145000.0,0.0,Transferencia,Tienda Física,Vacaciones,32
V000830,1,2023-02-23,C01332,Hombre,Local,P0013,Bolso,Accesorios,Accesorio,T017,Koaj Titán Plaza,Bogotá,Bogotá D.C.,KOAJ,2,55000.0,0.0,Transferencia,Tienda Física,Temporada Regular,L
V000660,2,2025-07-26,C01811,Mujer,Local,P0008,Chaqueta Bomber,Chaquetas,Chaqueta,T037,Koaj Fundadores,Manizales,Caldas,KOAJ,1,224000.0,0.0,Tarjeta Débito,Tienda Física,Regreso A Clases,Xs
V003205,1,2025-04-27,C01983,Mujer,Local,P0018,Camiseta Básica,Camisetas,Camiseta,T038,Koaj Plaza Central,Bogotá,Bogotá D.C.,KOAJ,2,74000.0,0.0,Tarjeta Débito,Tienda Física,Día De La Madre,L
V000490,1,2025-01-11,C00155,Mujer,Local,P0002,Set Deportivo,Deportivo,Conjunto,T009,Koaj Buenavista,Montería,Córdoba,KOAJ,2,159000.0,0.0,Tarjeta Débito,Tienda Física,Temporada Regular,Xl
V003160,3,2023-11-05,C01203,Mujer,Local,P0007,Gorra,Accesorios,Accesorio,T040,Koaj Andino,Bogotá,Bogotá D.C.,KOAJ,1,58000.0,0.05,Tarjeta Débito,Tienda Física,Regreso A Clases,Xs
V002433,1,2024-11-04,C00328,Hombre,Local,P0009,Camisa Casual,Camisas,Camisa,T018,Koaj Mall Plaza,Cartagena,Bolívar,KOAJ,4,128000.0,0.0,Transferencia,Tienda Física,Temporada Regular,Xl
V003414,1,2023-10-27,C01193,Mujer,Local,P0002,Set Deportivo,Deportivo,Conjunto,T001,Koaj Premium Plaza,Medellín,Antioquia,KOAJ,1,162000.0,0.05,Tarjeta Crédito,Tienda Física,Temporada De Diciembre,Xs
V001230,1,2025-04-15,C00233,Mujer,Local,P0023,Camiseta Oversize,Camisetas,Camiseta,T002,Koaj Multicentro,Ibagué,Tolima,KOAJ,1,77000.0,0.0,Efectivo,Tienda Física,Temporada De Diciembre,Xs
